{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 48, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 136.80750000000003, 'gimmik_best': 136.134, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_48.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 56, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 135.09064583333333, 'gimmik_best': 134.491, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_56.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 134.2123333333333, 'gimmik_best': 133.341, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_64.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 78, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 139.79762500000004, 'gimmik_best': 139.20799999999997, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_78.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 96, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 135.62320833333328, 'gimmik_best': 134.867, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_96.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 112, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 135.364125, 'gimmik_best': 134.948, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_112.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 128, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 131.5800416666667, 'gimmik_best': 131.159, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_128.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 144, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 136.45687499999997, 'gimmik_best': 135.819, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_144.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 160, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 131.80722916666667, 'gimmik_best': 131.365, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_160.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 176, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 134.16406250000003, 'gimmik_best': 133.398, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_176.txt'}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 192, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'gimmik_avg': 132.12599999999998, 'gimmik_best': 131.527, 'mat_file': 'synth_mats/vary_unique/r_128_c_128_p_0.05_uniq_192.txt'}
